user_id,monetary,recency,frequency,cluster,cluster_name
58046439,10000,130,1,1,lowest-spending users
52414690,10000,316,1,1,lowest-spending users
15396693,20000,210,1,1,lowest-spending users
35908548,10000,175,1,1,lowest-spending users
48271969,20000,135,1,1,lowest-spending users
45616120,20000,7,1,1,lowest-spending users
61377821,30000,1,1,1,lowest-spending users
27306129,10000,190,1,1,lowest-spending users
36272337,20000,187,1,1,lowest-spending users
4814015,10000,14,1,1,lowest-spending users
5464659,20000,324,1,1,lowest-spending users
1288055,50000,308,1,5, low_spending users
43050212,100000,280,1,0,low-moderate-spending users
40983796,50000,232,1,5, low_spending users
52651229,10000,229,1,1,lowest-spending users
22934254,100000,213,1,0,low-moderate-spending users
278826,100000,151,1,0,low-moderate-spending users
39566012,10000,93,1,1,lowest-spending users
39908559,10000,66,1,1,lowest-spending users
40786845,10000,23,1,1,lowest-spending users
56685575,50000,14,1,5, low_spending users
41312795,100000,101,1,0,low-moderate-spending users
46662332,50000,75,1,5, low_spending users
59693600,20000,68,1,1,lowest-spending users
48752944,100000,363,1,0,low-moderate-spending users
42148322,30000,351,1,1,lowest-spending users
41934637,20000,322,1,1,lowest-spending users
36272904,50000,308,1,5, low_spending users
1354945,20000,231,1,1,lowest-spending users
41839658,10000,197,1,1,lowest-spending users
54596643,200000,196,1,2,moderate-spending users
40110791,50000,63,1,5, low_spending users
49622909,10000,35,1,1,lowest-spending users
41008253,50000,155,1,5, low_spending users
52932104,50000,151,1,5, low_spending users
48351067,50000,94,1,5, low_spending users
55717193,20000,67,1,1,lowest-spending users
24263869,50000,63,1,5, low_spending users
50855501,10000,62,1,1,lowest-spending users
42450216,20000,53,1,1,lowest-spending users
30021271,50000,253,1,5, low_spending users
55674176,50000,230,1,5, low_spending users
52862166,50000,199,1,5, low_spending users
38824826,50000,195,1,5, low_spending users
50489840,50000,74,1,5, low_spending users
36350359,30000,47,1,1,lowest-spending users
21426818,10000,2,1,1,lowest-spending users
49293495,20000,364,1,1,lowest-spending users
38819267,10000,276,1,1,lowest-spending users
53733319,50000,218,1,5, low_spending users
39676958,100000,217,1,0,low-moderate-spending users
41671815,20000,198,1,1,lowest-spending users
45661172,30000,198,1,1,lowest-spending users
32217762,100000,190,1,0,low-moderate-spending users
41359413,100000,39,1,0,low-moderate-spending users
38794873,100000,31,1,0,low-moderate-spending users
47548676,20000,350,1,1,lowest-spending users
45198574,10000,311,1,1,lowest-spending users
49458590,20000,294,1,1,lowest-spending users
48095576,100000,249,1,0,low-moderate-spending users
39298599,100000,242,1,0,low-moderate-spending users
44465125,100000,238,1,0,low-moderate-spending users
35100349,50000,5,1,5, low_spending users
52490940,20000,206,1,1,lowest-spending users
44682219,100000,159,1,0,low-moderate-spending users
42472048,50000,140,1,5, low_spending users
31751918,20000,113,1,1,lowest-spending users
47374862,20000,71,1,1,lowest-spending users
54636185,30000,29,1,1,lowest-spending users
36440157,50000,357,1,5, low_spending users
47449469,10000,347,1,1,lowest-spending users
44443585,20000,342,1,1,lowest-spending users
44107287,50000,286,1,5, low_spending users
55151272,20000,260,1,1,lowest-spending users
47702902,20000,66,1,1,lowest-spending users
46408146,10000,33,1,1,lowest-spending users
43569976,10000,283,1,1,lowest-spending users
40331509,10000,278,1,1,lowest-spending users
866679,10000,217,1,1,lowest-spending users
13491562,100000,185,1,0,low-moderate-spending users
54550317,10000,159,1,1,lowest-spending users
56160478,20000,151,1,1,lowest-spending users
42932090,50000,89,1,5, low_spending users
40604716,50000,66,1,5, low_spending users
34178001,50000,213,1,5, low_spending users
55636200,20000,148,1,1,lowest-spending users
40724767,20000,124,1,1,lowest-spending users
40924051,100000,142,1,0,low-moderate-spending users
40473498,10000,99,1,1,lowest-spending users
54646862,20000,92,1,1,lowest-spending users
46106813,20000,89,1,1,lowest-spending users
36991093,30000,74,1,1,lowest-spending users
40136161,100000,70,1,0,low-moderate-spending users
48167993,50000,342,1,5, low_spending users
41261869,100000,324,1,0,low-moderate-spending users
9049543,30000,310,1,1,lowest-spending users
30433029,100000,203,1,0,low-moderate-spending users
31002880,10000,353,1,1,lowest-spending users
3739445,20000,338,1,1,lowest-spending users
11248622,10000,210,1,1,lowest-spending users
30091341,50000,85,1,5, low_spending users
56017576,100000,64,1,0,low-moderate-spending users
5027033,30000,6,1,1,lowest-spending users
1070025,20000,1,1,1,lowest-spending users
42445702,50000,319,1,5, low_spending users
51230943,10000,280,1,1,lowest-spending users
33550832,100000,269,1,0,low-moderate-spending users
49052826,20000,126,1,1,lowest-spending users
10655742,50000,73,1,5, low_spending users
46961438,20000,67,1,1,lowest-spending users
6647201,100000,24,1,0,low-moderate-spending users
19026297,20000,336,1,1,lowest-spending users
45627704,20000,317,1,1,lowest-spending users
52602055,20000,286,1,1,lowest-spending users
31455053,20000,144,1,1,lowest-spending users
45599363,10000,138,1,1,lowest-spending users
50312219,20000,106,1,1,lowest-spending users
48456016,100000,355,1,0,low-moderate-spending users
4994215,100000,290,1,0,low-moderate-spending users
54861769,30000,274,1,1,lowest-spending users
45562340,10000,172,1,1,lowest-spending users
34210985,50000,94,1,5, low_spending users
50962531,50000,82,1,5, low_spending users
7301031,50000,79,1,5, low_spending users
54111755,20000,75,1,1,lowest-spending users
38729970,50000,44,1,5, low_spending users
41450353,100000,366,1,0,low-moderate-spending users
28508645,100000,280,1,0,low-moderate-spending users
46838473,30000,269,1,1,lowest-spending users
49965762,100000,226,1,0,low-moderate-spending users
43411545,10000,123,1,1,lowest-spending users
57752551,20000,65,1,1,lowest-spending users
47815276,100000,27,1,0,low-moderate-spending users
3666873,20000,339,1,1,lowest-spending users
32345728,20000,235,1,1,lowest-spending users
51753959,100000,148,1,0,low-moderate-spending users
46210428,50000,116,1,5, low_spending users
34229508,20000,108,1,1,lowest-spending users
46486706,10000,43,1,1,lowest-spending users
45806178,50000,311,1,5, low_spending users
36926628,100000,262,1,0,low-moderate-spending users
8120740,10000,238,1,1,lowest-spending users
49269943,100000,184,1,0,low-moderate-spending users
48196234,100000,157,1,0,low-moderate-spending users
39108203,10000,74,1,1,lowest-spending users
26012040,100000,47,1,0,low-moderate-spending users
52078830,10000,24,1,1,lowest-spending users
55027614,100000,5,1,0,low-moderate-spending users
53328027,20000,278,1,1,lowest-spending users
50141843,50000,266,1,5, low_spending users
47200304,50000,238,1,5, low_spending users
55717087,100000,221,1,0,low-moderate-spending users
49455172,10000,190,1,1,lowest-spending users
44480608,10000,185,1,1,lowest-spending users
32462124,100000,317,1,0,low-moderate-spending users
46564728,10000,277,1,1,lowest-spending users
23905261,200000,197,1,2,moderate-spending users
52338051,100000,147,1,0,low-moderate-spending users
41873180,100000,21,1,0,low-moderate-spending users
42665799,20000,351,1,1,lowest-spending users
50280483,20000,323,1,1,lowest-spending users
53966709,10000,301,1,1,lowest-spending users
40628351,50000,228,1,5, low_spending users
41463357,10000,196,1,1,lowest-spending users
46048602,20000,182,1,1,lowest-spending users
50559847,10000,140,1,1,lowest-spending users
54238330,50000,59,1,5, low_spending users
38881508,50000,46,1,5, low_spending users
37628126,10000,27,1,1,lowest-spending users
56597583,10000,2,1,1,lowest-spending users
35267393,20000,323,1,1,lowest-spending users
22021312,50000,318,1,5, low_spending users
755450,50000,293,1,5, low_spending users
47994915,20000,287,1,1,lowest-spending users
49058714,20000,247,1,1,lowest-spending users
38958033,10000,184,1,1,lowest-spending users
179041,500000,163,1,4,high-spending users
52177622,30000,330,1,1,lowest-spending users
42961765,100000,312,1,0,low-moderate-spending users
32732182,10000,156,1,1,lowest-spending users
28620504,100000,71,1,0,low-moderate-spending users
27009845,20000,2,1,1,lowest-spending users
41306509,10000,336,1,1,lowest-spending users
39309691,30000,315,1,1,lowest-spending users
5949779,100000,246,1,0,low-moderate-spending users
48566956,50000,226,1,5, low_spending users
29946581,10000,222,1,1,lowest-spending users
13958076,50000,186,1,5, low_spending users
36958759,30000,186,1,1,lowest-spending users
50374480,10000,164,1,1,lowest-spending users
57378340,20000,82,1,1,lowest-spending users
55634697,50000,79,1,5, low_spending users
49337780,100000,69,1,0,low-moderate-spending users
52026639,10000,63,1,1,lowest-spending users
38663246,100000,308,1,0,low-moderate-spending users
47200931,10000,272,1,1,lowest-spending users
49512570,50000,236,1,5, low_spending users
40828219,100000,95,1,0,low-moderate-spending users
48850880,10000,34,1,1,lowest-spending users
51461883,10000,365,1,1,lowest-spending users
46327024,100000,333,1,0,low-moderate-spending users
42763125,50000,238,1,5, low_spending users
41571011,50000,148,1,5, low_spending users
57514226,10000,126,1,1,lowest-spending users
40213991,100000,72,1,0,low-moderate-spending users
4550263,300000,69,1,2,moderate-spending users
39805980,10000,5,1,1,lowest-spending users
56307196,10000,175,1,1,lowest-spending users
49968527,50000,111,1,5, low_spending users
42653768,20000,109,1,1,lowest-spending users
42704210,20000,94,1,1,lowest-spending users
41375832,100000,3,1,0,low-moderate-spending users
41913429,20000,236,1,1,lowest-spending users
30507719,100000,143,1,0,low-moderate-spending users
5971050,50000,106,1,5, low_spending users
41436828,20000,68,1,1,lowest-spending users
43464778,20000,45,1,1,lowest-spending users
53020637,10000,30,1,1,lowest-spending users
59588133,50000,6,1,5, low_spending users
47912903,20000,343,1,1,lowest-spending users
42918854,10000,211,1,1,lowest-spending users
31688114,10000,175,1,1,lowest-spending users
49083623,10000,143,1,1,lowest-spending users
44272871,50000,114,1,5, low_spending users
40382764,30000,324,1,1,lowest-spending users
29829870,10000,225,1,1,lowest-spending users
21703082,50000,188,1,5, low_spending users
48566086,20000,195,1,1,lowest-spending users
40966464,20000,168,1,1,lowest-spending users
38517427,20000,164,1,1,lowest-spending users
46541339,20000,160,1,1,lowest-spending users
47584634,100000,349,1,0,low-moderate-spending users
49844998,50000,328,1,5, low_spending users
16804327,10000,112,1,1,lowest-spending users
59734121,100000,7,1,0,low-moderate-spending users
51105356,50000,357,1,5, low_spending users
42782561,20000,260,1,1,lowest-spending users
43130060,20000,259,1,1,lowest-spending users
35255488,20000,251,1,1,lowest-spending users
52193789,100000,167,1,0,low-moderate-spending users
40556993,100000,131,1,0,low-moderate-spending users
46880130,100000,90,1,0,low-moderate-spending users
46094951,20000,13,1,1,lowest-spending users
41715247,50000,284,1,5, low_spending users
32472592,100000,162,1,0,low-moderate-spending users
43132788,10000,108,1,1,lowest-spending users
32490986,10000,105,1,1,lowest-spending users
56541645,20000,12,1,1,lowest-spending users
52599221,10000,302,1,1,lowest-spending users
47912382,10000,185,1,1,lowest-spending users
56717348,10000,169,1,1,lowest-spending users
58053810,30000,117,1,1,lowest-spending users
50157057,100000,65,1,0,low-moderate-spending users
2357954,20000,56,1,1,lowest-spending users
7548845,20000,244,1,1,lowest-spending users
29730463,200000,234,1,2,moderate-spending users
48645562,50000,179,1,5, low_spending users
49776903,20000,130,1,1,lowest-spending users
47304686,100000,75,1,0,low-moderate-spending users
45758461,50000,14,1,5, low_spending users
51171636,10000,12,1,1,lowest-spending users
46013660,50000,337,1,5, low_spending users
41162247,10000,331,1,1,lowest-spending users
29811307,50000,274,1,5, low_spending users
41024735,20000,255,1,1,lowest-spending users
48643249,10000,249,1,1,lowest-spending users
28321146,20000,220,1,1,lowest-spending users
45668663,50000,177,1,5, low_spending users
46924461,20000,169,1,1,lowest-spending users
54431302,30000,152,1,1,lowest-spending users
56600606,30000,89,1,1,lowest-spending users
47518334,50000,334,1,5, low_spending users
33976450,100000,327,1,0,low-moderate-spending users
43700003,10000,224,1,1,lowest-spending users
55265375,10000,203,1,1,lowest-spending users
53431542,20000,78,1,1,lowest-spending users
40415173,20000,44,1,1,lowest-spending users
47203029,50000,311,1,5, low_spending users
40082842,10000,292,1,1,lowest-spending users
46878135,50000,282,1,5, low_spending users
46751984,50000,187,1,5, low_spending users
9915077,100000,178,1,0,low-moderate-spending users
40256072,100000,115,1,0,low-moderate-spending users
49173590,50000,56,1,5, low_spending users
44248440,30000,321,1,1,lowest-spending users
51499192,10000,292,1,1,lowest-spending users
51146993,50000,272,1,5, low_spending users
38230180,10000,156,1,1,lowest-spending users
44344836,50000,123,1,5, low_spending users
41479802,30000,45,1,1,lowest-spending users
48945229,10000,28,1,1,lowest-spending users
40157163,10000,3,1,1,lowest-spending users
52232784,10000,293,1,1,lowest-spending users
46923379,20000,200,1,1,lowest-spending users
25168959,10000,152,1,1,lowest-spending users
46830813,20000,110,1,1,lowest-spending users
36847086,20000,18,1,1,lowest-spending users
57549320,50000,11,1,5, low_spending users
45883530,10000,297,1,1,lowest-spending users
48459219,50000,262,1,5, low_spending users
42638079,20000,181,1,1,lowest-spending users
47604345,10000,247,1,1,lowest-spending users
51427333,200000,158,1,2,moderate-spending users
47429947,30000,123,1,1,lowest-spending users
53443338,20000,57,1,1,lowest-spending users
14259040,100000,54,1,0,low-moderate-spending users
23338956,100000,22,1,0,low-moderate-spending users
39241413,20000,352,1,1,lowest-spending users
47726228,50000,302,1,5, low_spending users
54206405,50000,251,1,5, low_spending users
42494438,20000,165,1,1,lowest-spending users
48557158,10000,109,1,1,lowest-spending users
33457393,10000,87,1,1,lowest-spending users
44223577,50000,143,1,5, low_spending users
29951825,50000,69,1,5, low_spending users
49152525,50000,62,1,5, low_spending users
44152030,100000,11,1,0,low-moderate-spending users
44076069,50000,20,1,5, low_spending users
51089930,20000,358,1,1,lowest-spending users
24488978,50000,338,1,5, low_spending users
41593381,30000,299,1,1,lowest-spending users
55115952,10000,218,1,1,lowest-spending users
27159394,20000,186,1,1,lowest-spending users
46113531,100000,106,1,0,low-moderate-spending users
50649164,50000,3,1,5, low_spending users
38690534,10000,337,1,1,lowest-spending users
23500745,20000,199,1,1,lowest-spending users
40097621,10000,181,1,1,lowest-spending users
57370093,20000,139,1,1,lowest-spending users
153505,20000,299,1,1,lowest-spending users
1140510,50000,129,1,5, low_spending users
42364002,20000,93,1,1,lowest-spending users
2095132,100000,82,1,0,low-moderate-spending users
42641113,20000,51,1,1,lowest-spending users
34065564,100000,1,1,0,low-moderate-spending users
53492412,10000,325,1,1,lowest-spending users
38772609,20000,299,1,1,lowest-spending users
46627410,50000,275,1,5, low_spending users
39992609,100000,268,1,0,low-moderate-spending users
29125850,50000,110,1,5, low_spending users
43867047,50000,88,1,5, low_spending users
44253392,10000,360,1,1,lowest-spending users
52426226,20000,358,1,1,lowest-spending users
39871427,20000,331,1,1,lowest-spending users
53889354,10000,277,1,1,lowest-spending users
34004353,50000,123,1,5, low_spending users
3251265,100000,28,1,0,low-moderate-spending users
60040847,100000,10,1,0,low-moderate-spending users
46120401,20000,290,1,1,lowest-spending users
50361433,100000,246,1,0,low-moderate-spending users
43635698,10000,227,1,1,lowest-spending users
28948481,20000,224,1,1,lowest-spending users
55262255,20000,189,1,1,lowest-spending users
50561719,50000,186,1,5, low_spending users
56347731,20000,91,1,1,lowest-spending users
30048696,20000,42,1,1,lowest-spending users
44358427,100000,345,1,0,low-moderate-spending users
50675908,50000,337,1,5, low_spending users
50121840,50000,322,1,5, low_spending users
40431088,50000,270,1,5, low_spending users
41820070,50000,224,1,5, low_spending users
43576445,100000,215,1,0,low-moderate-spending users
43064212,10000,92,1,1,lowest-spending users
42130738,200000,58,1,2,moderate-spending users
35005805,50000,50,1,5, low_spending users
46101629,20000,221,1,1,lowest-spending users
57763228,50000,16,1,5, low_spending users
31252154,500000,360,1,4,high-spending users
44035903,50000,297,1,5, low_spending users
49694104,20000,260,1,1,lowest-spending users
19748714,30000,254,1,1,lowest-spending users
45043426,50000,239,1,5, low_spending users
43249722,10000,163,1,1,lowest-spending users
57362064,20000,96,1,1,lowest-spending users
2840506,20000,57,1,1,lowest-spending users
7668238,100000,15,1,0,low-moderate-spending users
9068435,50000,140,1,5, low_spending users
53104693,100000,63,1,0,low-moderate-spending users
48554759,10000,338,1,1,lowest-spending users
16584665,20000,226,1,1,lowest-spending users
49389021,100000,139,1,0,low-moderate-spending users
51455591,20000,116,1,1,lowest-spending users
49346233,20000,110,1,1,lowest-spending users
332743,100000,95,1,0,low-moderate-spending users
44677765,20000,323,1,1,lowest-spending users
20066383,20000,317,1,1,lowest-spending users
2048145,100000,289,1,0,low-moderate-spending users
33019993,10000,255,1,1,lowest-spending users
54038459,10000,249,1,1,lowest-spending users
41217395,100000,359,1,0,low-moderate-spending users
34436721,50000,346,1,5, low_spending users
43852646,50000,278,1,5, low_spending users
8837378,10000,277,1,1,lowest-spending users
46248530,20000,78,1,1,lowest-spending users
16253282,10000,52,1,1,lowest-spending users
40071833,50000,331,1,5, low_spending users
5288481,20000,260,1,1,lowest-spending users
36861092,20000,158,1,1,lowest-spending users
35887824,100000,27,1,0,low-moderate-spending users
50608480,50000,193,1,5, low_spending users
50712493,50000,93,1,5, low_spending users
55856205,50000,53,1,5, low_spending users
52784579,100000,296,1,0,low-moderate-spending users
50842952,20000,289,1,1,lowest-spending users
44888871,100000,271,1,0,low-moderate-spending users
18418017,100000,175,1,0,low-moderate-spending users
19006131,100000,141,1,0,low-moderate-spending users
32165926,100000,84,1,0,low-moderate-spending users
28935623,100000,52,1,0,low-moderate-spending users
50179404,10000,348,1,1,lowest-spending users
51716355,50000,343,1,5, low_spending users
57013858,10000,53,1,1,lowest-spending users
34234812,20000,18,1,1,lowest-spending users
8073604,50000,358,1,5, low_spending users
54066969,10000,287,1,1,lowest-spending users
51825251,10000,278,1,1,lowest-spending users
42634040,50000,216,1,5, low_spending users
35659735,50000,106,1,5, low_spending users
50143755,20000,44,1,1,lowest-spending users
45733343,20000,335,1,1,lowest-spending users
54261533,10000,213,1,1,lowest-spending users
22280945,50000,93,1,5, low_spending users
38638589,100000,7,1,0,low-moderate-spending users
43155015,10000,366,1,1,lowest-spending users
50506319,10000,276,1,1,lowest-spending users
26280521,100000,207,1,0,low-moderate-spending users
31123315,20000,193,1,1,lowest-spending users
46122439,30000,175,1,1,lowest-spending users
50561258,30000,152,1,1,lowest-spending users
38481950,100000,112,1,0,low-moderate-spending users
22157184,10000,91,1,1,lowest-spending users
58117843,20000,12,1,1,lowest-spending users
45660133,100000,323,1,0,low-moderate-spending users
7130320,100000,286,1,0,low-moderate-spending users
54086302,100000,248,1,0,low-moderate-spending users
10797525,100000,154,1,0,low-moderate-spending users
41495259,50000,87,1,5, low_spending users
58721205,10000,86,1,1,lowest-spending users
39981437,100000,327,1,0,low-moderate-spending users
41981249,10000,253,1,1,lowest-spending users
53602399,20000,228,1,1,lowest-spending users
40928571,200000,195,1,2,moderate-spending users
7490079,50000,152,1,5, low_spending users
41914657,20000,130,1,1,lowest-spending users
12497690,50000,126,1,5, low_spending users
35845202,10000,70,1,1,lowest-spending users
56354395,200000,16,2,2,moderate-spending users
38794046,20000,281,1,1,lowest-spending users
42271084,30000,278,1,1,lowest-spending users
49590586,50000,165,1,5, low_spending users
45128089,20000,160,1,1,lowest-spending users
46389709,100000,158,1,0,low-moderate-spending users
41878467,50000,32,1,5, low_spending users
50827469,20000,348,1,1,lowest-spending users
5370433,30000,206,1,1,lowest-spending users
23540842,10000,8,1,1,lowest-spending users
51247322,200000,314,1,2,moderate-spending users
42399064,50000,220,1,5, low_spending users
55273885,100000,166,1,0,low-moderate-spending users
42172275,200000,154,1,2,moderate-spending users
56064480,50000,113,1,5, low_spending users
38383370,10000,48,1,1,lowest-spending users
46829877,50000,349,1,5, low_spending users
53740744,40000,235,1,5, low_spending users
28546109,10000,326,1,1,lowest-spending users
35043011,50000,281,1,5, low_spending users
41862237,100000,175,1,0,low-moderate-spending users
52112381,50000,165,1,5, low_spending users
55212995,100000,65,1,0,low-moderate-spending users
49027021,500000,189,1,4,high-spending users
46917574,50000,166,1,5, low_spending users
52400836,200000,155,1,2,moderate-spending users
40808571,30000,146,1,1,lowest-spending users
47126988,100000,345,1,0,low-moderate-spending users
53499405,50000,244,1,5, low_spending users
16888832,10000,163,1,1,lowest-spending users
3412421,50000,14,1,5, low_spending users
40375090,50000,329,1,5, low_spending users
39832678,20000,290,1,1,lowest-spending users
44428998,50000,191,1,5, low_spending users
48953224,10000,61,1,1,lowest-spending users
21028233,50000,165,1,5, low_spending users
56559441,20000,162,1,1,lowest-spending users
46146352,20000,43,1,1,lowest-spending users
58729446,100000,13,1,0,low-moderate-spending users
42836029,20000,344,1,1,lowest-spending users
45219424,50000,287,1,5, low_spending users
44967451,10000,236,1,1,lowest-spending users
45644375,10000,181,1,1,lowest-spending users
4460007,20000,83,1,1,lowest-spending users
45479887,20000,75,1,1,lowest-spending users
35056857,100000,31,1,0,low-moderate-spending users
24547933,30000,249,1,1,lowest-spending users
36398325,100000,233,1,0,low-moderate-spending users
52412214,100000,223,1,0,low-moderate-spending users
40990686,50000,46,1,5, low_spending users
44159644,100000,18,1,0,low-moderate-spending users
30091481,50000,322,1,5, low_spending users
42222903,20000,133,1,1,lowest-spending users
42077648,10000,109,1,1,lowest-spending users
40975435,100000,63,1,0,low-moderate-spending users
54416257,10000,36,1,1,lowest-spending users
35986819,100000,156,1,0,low-moderate-spending users
6525192,20000,146,1,1,lowest-spending users
57589606,20000,126,1,1,lowest-spending users
48968020,50000,104,1,5, low_spending users
39377494,100000,52,1,0,low-moderate-spending users
46610719,50000,22,1,5, low_spending users
9928287,50000,299,1,5, low_spending users
49980395,100000,286,1,0,low-moderate-spending users
47490282,50000,231,1,5, low_spending users
49548113,50000,172,1,5, low_spending users
44212027,10000,129,1,1,lowest-spending users
47267414,20000,291,1,1,lowest-spending users
37741150,20000,198,1,1,lowest-spending users
4978254,10000,180,1,1,lowest-spending users
40268349,10000,163,1,1,lowest-spending users
39680407,10000,108,1,1,lowest-spending users
54352350,10000,100,1,1,lowest-spending users
54137918,20000,65,1,1,lowest-spending users
58427984,10000,79,1,1,lowest-spending users
49539606,10000,72,1,1,lowest-spending users
47130148,20000,68,1,1,lowest-spending users
42597887,20000,22,1,1,lowest-spending users
48136612,50000,273,1,5, low_spending users
42421520,20000,216,1,1,lowest-spending users
47546177,50000,195,1,5, low_spending users
13208503,100000,124,1,0,low-moderate-spending users
18603275,50000,4,1,5, low_spending users
48340954,30000,305,1,1,lowest-spending users
30975412,10000,298,1,1,lowest-spending users
42623157,20000,280,1,1,lowest-spending users
50857874,10000,277,1,1,lowest-spending users
14152743,50000,170,1,5, low_spending users
44736185,50000,73,1,5, low_spending users
39485411,20000,41,1,1,lowest-spending users
44890534,300000,353,1,2,moderate-spending users
33893957,100000,264,1,0,low-moderate-spending users
47357925,50000,260,1,5, low_spending users
8486278,30000,160,1,1,lowest-spending users
42879481,30000,98,1,1,lowest-spending users
432820,50000,4,1,5, low_spending users
18791504,10000,308,1,1,lowest-spending users
41958753,50000,227,1,5, low_spending users
53903758,500000,197,1,4,high-spending users
40230768,10000,161,1,1,lowest-spending users
